iteration,t_M,tau_M,field,measure,quantile,median,deviation_cutoff,vertices,selected_measure_fraction,long_axis_fraction,polar_fraction,origin,axis_source
9536,18.625,0.0,repsi2,fejer,0.9,-1.2799983777163768,1.7845622210052263,231,0.1002466941828441,0.954498963849189,0.017502781742422775,reused_B3,frozen_B2
9536,18.625,0.0,repsi2,fejer,0.95,-1.2799983777163768,2.079284393716837,28,0.051311043205178056,0.9452996417144,0.0,reused_B3,frozen_B2
9536,18.625,0.0,repsi2,fejer,0.98,-1.2799983777163768,2.295805268856034,12,0.021275560769238148,0.868077157741039,0.0,reused_B3,frozen_B2
9536,18.625,0.0,impsi2,fejer,0.9,-6.02353935727944e-15,0.3614776700940822,952,0.1003972792375527,0.4474120604866547,0.7310013631179809,reused_B3,frozen_B2
9536,18.625,0.0,impsi2,fejer,0.95,-6.02353935727944e-15,0.3934935074506505,773,0.05007649582463101,0.26974903491818164,0.7302509650818183,reused_B3,frozen_B2
9536,18.625,0.0,impsi2,fejer,0.98,-6.02353935727944e-15,0.42367107577190255,500,0.021575797361751525,0.3088585429846665,0.6911414570153335,reused_B3,frozen_B2
9536,18.625,0.0,abs_npsigma,fejer,0.9,0.18701011249693525,0.3085860967186803,1189,0.10013087133525189,0.0,0.955398329720337,reused_B3,frozen_B2
9536,18.625,0.0,abs_npsigma,fejer,0.95,0.18701011249693525,0.37622278228131334,887,0.05003498077996214,0.0,1.0,reused_B3,frozen_B2
9536,18.625,0.0,abs_npsigma,fejer,0.98,0.18701011249693525,0.42761259982038413,584,0.02005717230543646,0.0,1.0,reused_B3,frozen_B2
9568,18.6875,0.0625,repsi2,fejer,0.9,-1.1757129870070573,1.6706512729480791,58,0.1016432960777472,1.0,0.0,reused_B3,frozen_B2
9568,18.6875,0.0625,repsi2,fejer,0.95,-1.1757129870070573,1.9878831443894933,28,0.050384133017637514,1.0,0.0,reused_B3,frozen_B2
9568,18.6875,0.0625,repsi2,fejer,0.98,-1.1757129870070573,2.2713130669324753,12,0.02157148319117863,1.0,0.0,reused_B3,frozen_B2
9568,18.6875,0.0625,impsi2,fejer,0.9,5.5890436653564885e-15,0.3590382597895522,966,0.10015414691405522,0.3765154048970259,0.7406384865847281,reused_B3,frozen_B2
9568,18.6875,0.0625,impsi2,fejer,0.95,5.5890436653564885e-15,0.39093977868826985,751,0.0500661906101203,0.25994139574242703,0.7400586042575731,reused_B3,frozen_B2
9568,18.6875,0.0625,impsi2,fejer,0.98,5.5890436653564885e-15,0.41501504029848796,553,0.020021052040283583,0.0,1.0,reused_B3,frozen_B2
9568,18.6875,0.0625,abs_npsigma,fejer,0.9,0.1867862412406373,0.28422458919178434,1153,0.10005056463863249,0.0,0.9933624496668886,reused_B3,frozen_B2
9568,18.6875,0.0625,abs_npsigma,fejer,0.95,0.1867862412406373,0.34212454354287697,857,0.050015686681310546,0.0,1.0,reused_B3,frozen_B2
9568,18.6875,0.0625,abs_npsigma,fejer,0.98,0.1867862412406373,0.38850174047518243,558,0.02005442808936145,0.0,1.0,reused_B3,frozen_B2
9600,18.75,0.125,repsi2,fejer,0.9,-1.1402126257686995,1.6011476310609627,59,0.10082859399250446,1.0,0.0,reused_B3,frozen_B2
9600,18.75,0.125,repsi2,fejer,0.95,-1.1402126257686995,1.880262408011892,29,0.05090363175258421,1.0,0.0,reused_B3,frozen_B2
9600,18.75,0.125,repsi2,fejer,0.98,-1.1402126257686995,2.187131523330245,12,0.021426501388374486,1.0,0.0,reused_B3,frozen_B2
9600,18.75,0.125,impsi2,fejer,0.9,-5.730841057575703e-15,0.3546102093276319,983,0.10007215964627453,0.3065534981081541,0.8069873595697454,reused_B3,frozen_B2
9600,18.75,0.125,impsi2,fejer,0.95,-5.730841057575703e-15,0.3924211073615565,736,0.050078283076191825,0.25219673332149517,0.7478032666785047,reused_B3,frozen_B2
9600,18.75,0.125,impsi2,fejer,0.98,-5.730841057575703e-15,0.41222725231798724,542,0.020033036589038995,0.0,1.0,reused_B3,frozen_B2
9600,18.75,0.125,abs_npsigma,fejer,0.9,0.18519211421587956,0.2671089922758225,1128,0.1001539673711058,0.0,1.0,reused_B3,frozen_B2
9600,18.75,0.125,abs_npsigma,fejer,0.95,0.18519211421587956,0.32458571360112165,836,0.05000282897638813,0.0,1.0,reused_B3,frozen_B2
9600,18.75,0.125,abs_npsigma,fejer,0.98,0.18519211421587956,0.3652465612431587,543,0.020007747705401507,0.0,1.0,reused_B3,frozen_B2
9632,18.8125,0.1875,repsi2,fejer,0.9,-1.103085658276761,1.6150500682159394,60,0.10090364468653137,1.0,0.0,reused_B3,frozen_B2
9632,18.8125,0.1875,repsi2,fejer,0.95,-1.103085658276761,1.8160710867987364,29,0.05005739668519439,1.0,0.0,reused_B3,frozen_B2
9632,18.8125,0.1875,repsi2,fejer,0.98,-1.103085658276761,2.133052804440209,12,0.02085611956859349,1.0,0.0,reused_B3,frozen_B2
9632,18.8125,0.1875,impsi2,fejer,0.9,5.906806646716266e-16,0.35706453072484134,968,0.1001955533121883,0.2966184444181389,0.8135606145258202,reused_B3,frozen_B2
9632,18.8125,0.1875,impsi2,fejer,0.95,5.906806646716266e-16,0.3896053282444845,739,0.05056910612506413,0.21324866078578744,0.7867513392142126,reused_B3,frozen_B2
9632,18.8125,0.1875,impsi2,fejer,0.98,5.906806646716266e-16,0.41362964659013335,531,0.020130493741901644,0.0,1.0,reused_B3,frozen_B2
