iteration,t_M,tau_from_AH3_birth_M,AH1_AH2_area_weighted_coordinate_separation_M,AH3_coordinate_span_x_M,AH3_coordinate_span_y_M,AH3_coordinate_span_z_M,AH3_coordinate_span_max_over_min,AH3_area_weighted_major_axis_vs_AH1_AH2_angle_deg,AH3_Euclidean_coordinate_mesh_area,repsi2_mean,repsi2_std,repsi2_min,repsi2_max,impsi2_mean,impsi2_std,impsi2_min,impsi2_max,renpsigma_mean,renpsigma_std,renpsigma_min,renpsigma_max,imnpsigma_mean,imnpsigma_std,imnpsigma_min,imnpsigma_max,renprho_mean,renprho_std,renprho_min,renprho_max,imnprho_mean,imnprho_std,imnprho_min,imnprho_max
9536,18.625,0.0,1.1634372176914543,1.9327839829119569,0.8939322256086599,0.7398683890950695,2.6123348576575065,4.544298446520811,4.378451775741077,-0.27646496184496827,0.911664896321706,-3.7478959849439666,1.4921851836062432,-8.389488158851266e-10,0.31117579866671935,-0.4488883136102385,0.44888831361022347,0.05219009543802751,0.32598478907183925,-0.6523857023809652,0.6521379581336404,-1.9840486502397696e-10,0.33753507800552185,-0.6527851638560843,0.6527851638550765,0.03535048834403925,0.10414532486237836,-0.18277447882191364,0.5229527779740925,6.998910516398292e-11,0.03369949453633519,-0.14389551082122043,0.14389551082122454
9568,18.6875,0.0625,1.1544095189089563,1.9375733558827688,0.9284885645871095,0.7664400980221555,2.528016685038782,4.815431351315717,4.557824692115009,-0.31940236093785757,0.8481655951060324,-3.5486568121223896,0.4148265739027008,-4.622336291504325e-10,0.3105599626138775,-0.4434378025981015,0.4434378025980996,0.04806014467076669,0.3047027094341784,-0.6096526791191943,0.6086833336019217,-2.1179875349144057e-10,0.31459468512189304,-0.6090456146656419,0.6090456146679335,0.034500824908368685,0.09730409715787895,-0.17232409401528875,0.4864670772539784,5.27133863895884e-11,0.034769117679875436,-0.14368349436602967,0.143683494366028
9600,18.75,0.125,1.1453972814170859,1.9379216063363516,0.9562583239230511,0.7845746132445306,2.4700284378591717,5.021548232096262,4.682620449519916,-0.34332786512121477,0.8060357235822729,-3.4323125348730557,0.3584559200366836,-2.8888249535012864e-10,0.3108459986848485,-0.4407570039159761,0.44075700391597744,0.045368092144711,0.2909159274289317,-0.5816191471067573,0.57992318394763,-1.9349153531616067e-10,0.29965956515474307,-0.5807452142516909,0.5807452142542896,0.03388180613210544,0.09262699637871669,-0.16467284920903316,0.46103232937901284,4.1325784417087184e-11,0.03544039418228523,-0.14312091549677566,0.1431209154967793
9632,18.8125,0.1875,1.1363853315397807,1.936094545169278,0.9806664730058186,0.8024338609465137,2.4127777246158963,5.1964983300724805,4.784655225692287,-0.3648425066174964,0.7744700656686362,-3.3803974143222266,0.3083701038622647,-1.91446401588889e-10,0.31148154547227863,-0.43912551858860593,0.4391255185886077,0.04326464809031025,0.28018720320699075,-0.5594150022230754,0.55692580963887,-1.705262696481845e-10,0.28801045242748663,-0.5588943089349235,0.5588943089342712,0.03334436744098589,0.08885455972111066,-0.16106751349079612,0.4406984406651089,3.313114438881149e-11,0.03591766641168288,-0.14202857451459702,0.14202857451459971
9664,18.875,0.25,1.1273923150523981,1.9326112938282645,1.0034046439074782,0.8175777110799449,2.3638258084059833,5.353094734610089,4.871592148507652,-0.3809208197440151,0.7506651969557228,-3.279797223625918,0.27420087045383923,-1.31564905002181e-10,0.3123736960154785,-0.4382097091593911,0.438209709159387,0.041511780714714036,0.27133630915090934,-0.5407066953539549,0.5392048119819782,-1.4929952159931533e-10,0.27838845211773655,-0.5406780815011897,0.5406780814956456,0.03286065199419393,0.08566120143395639,-0.15734026169140908,0.4239014422065607,2.7152052740214617e-11,0.03627857118191928,-0.1403912878262691,0.14039128782627025
9696,18.9375,0.3125,1.1184504923183913,1.9278368857841626,1.0271304774812773,0.8321000240210941,2.3168331091591114,5.500183195039352,4.948364606646514,-0.3945827809903464,0.7267388688556903,-3.2115594569423696,0.23895202320567874,-9.321567292303487e-11,0.31342620020258427,-0.43782226625722204,0.43782226625722026,0.03998531271935403,0.26370142114050976,-0.524172505270109,0.5247793993657727,-1.3085576079498019e-10,0.27008519090291305,-0.5256766745736178,0.5256766745711486,0.03240764749730458,0.08285061606191377,-0.15339222490333446,0.4081217606402729,2.2643606918957212e-11,0.03655659989183202,-0.13818627580096302,0.1381862758009694
10368,20.25,1.625,0.9360307511926104,1.754068870452794,1.3764448958804818,1.0506067007045465,1.6695770827242005,7.8167189395648595,5.785404962021076,-0.5435552395868125,0.4933481195394731,-2.4391064155284523,-0.10836862341165114,-1.0131437135449175e-12,0.34363191864406,-0.45864414609533655,0.4586441460953347,0.021751631580918154,0.17761086990288086,-0.35044381391326956,0.35040027012549996,-2.530918543524898e-11,0.17800511115445816,-0.3499182044211621,0.3499182044200254,0.025488765027186777,0.051414021688394505,-0.09437562908452049,0.2340042734695562,4.354011331369769e-12,0.03599513174182015,-0.11572401130314394,0.11572401130314547
10400,20.3125,1.6875,0.9275634522948826,1.743392034962394,1.3885892869066936,1.0575509955525018,1.6485181729242142,7.928216359519662,5.8082185743276655,-0.5479188290436299,0.4863178514225338,-2.4229201616839973,-0.11878464637963017,-8.540272545591477e-13,0.3449413265543721,-0.45964544280811775,0.4596454428081151,0.021104908124058255,0.17465408099927748,-0.34448019827411713,0.3442593347382617,-2.2569983976999148e-11,0.17493304822690553,-0.3441436024635697,0.34414360247126574,0.0252523528173951,0.05045842325674052,-0.09213749113983795,0.22859699154646784,3.9682486573607125e-12,0.03588181831351174,-0.11531149298883084,0.11531149298883243
10432,20.375,1.75,0.9191381548279665,1.7324693498453445,1.4015914377542176,1.0642797210832464,1.6278327168368862,8.041056742194675,5.830171925141034,-0.5521775173152985,0.47969242386283195,-2.391495707450035,-0.12867127593249952,-7.031440685432966e-13,0.34621454285890635,-0.4605625324718788,0.46056253247187995,0.020467589248862546,0.1717407283491445,-0.3383568309243365,0.3378588735230233,-1.975225062876364e-11,0.17191194737412555,-0.3385609571921243,0.338560957192761,0.025024430329722454,0.049526817422133856,-0.08983829401343653,0.2228766906136262,3.553697724097248e-12,0.03576963117979559,-0.1145988710322127,0.11459887103221315
10464,20.4375,1.8125,0.9107530423945278,1.7213328665335696,1.4141625642690525,1.0708015803505324,1.6075180482737823,8.155431120845186,5.851289768996988,-0.5566011901704809,0.47393638235625357,-2.3734474357461806,-0.13801795875918746,-5.751110346330004e-13,0.34744631231595885,-0.46139783411925817,0.4613978341192587,0.019839587435389126,0.16886989224287444,-0.33207533464198846,0.3312061997962251,-1.7033841004376883e-11,0.16894012087006932,-0.33276294742646106,0.3327629474263027,0.024804793285106232,0.0486175008490875,-0.08750211030540257,0.21722659523411536,3.1405650566912734e-12,0.03565962397591227,-0.11356234192694288,0.11356234192694366
10496,20.5,1.875,0.9023703183412751,1.7100152515439992,1.4262941402518459,1.0771240519397838,1.5875750322949775,8.273339967136613,5.871584247429231,-0.5611730124665244,0.4689181650507078,-2.3632513170908074,-0.14684650670136007,-4.751839133816594e-13,0.34863616041631174,-0.4621542757044263,0.4621542757044285,0.019220582953076052,0.16604167221711358,-0.32656062103957306,0.3262263481219979,-1.4453696793218171e-11,0.16601682242611282,-0.3270903436917749,0.32709034368746587,0.024593649344643722,0.04773059052460457,-0.0853137132399458,0.21328106175963932,2.734351722116867e-12,0.03555276308497082,-0.112887705397545,0.1128877053975498
10528,20.5625,1.9375,0.8939848650476151,1.6985544693220578,1.4379953776488128,1.083260111607005,1.5680024133836794,8.39440626431026,5.891112725750654,-0.5653377558993805,0.4634143951705542,-2.327187988492993,-0.15517023706496452,-3.9718211083377283e-13,0.3497894470317378,-0.4628307896515022,0.46283078965150265,0.018610469212848372,0.16325472482147071,-0.3213615570985192,0.3211220706742547,-1.2087927836820733e-11,0.16314001840688053,-0.32126970545213057,0.3212697054446959,0.024390760019029806,0.04686419818444805,-0.08358410741100612,0.20901081132075572,2.3469677700401034e-12,0.03544917283712569,-0.11274662507558159,0.11274662507558089
