iteration,t_M,tau_M,field,L,weighted_mean,weighted_variance,R2,residual_RMS,residual_RMS_over_original_SD,squared_residual_norm,original_mask_area,residual_mask_area,intersection_area,dice,jaccard,original_mask_recall,residual_squared_norm_fraction_in_original_mask,residual_concentration_over_area,residual_RMS_inside_original_mask,residual_RMS_outside_original_mask,residual_weighted_median,residual_mask_cutoff
9536,18.625,0.0,repsi2,2,-1.3489046922329573,1.254478389280521,0.8820805815235968,0.38461326310356736,0.3433939697729172,0.14792736215517394,0.051311043205178056,0.051311043205178056,0.051311043205178056,1.0,1.0,1.0,0.4741287023712496,9.240285769972473,1.1691411803165683,0.2863532177110244,0.048028821100165375,0.7074651732802721
9536,18.625,0.0,impsi2,2,4.417044230020168e-11,0.04884423429013,0.7233023098396113,0.1162544055325725,0.5260206176191088,0.013515086805731824,0.05007649582463101,0.050633373916685105,0.013508086420778567,0.26825744994955325,0.15490607997230232,0.26974903491818164,0.0956537204928844,1.9101520367532472,0.16067317943224246,0.113431188107897,-1.2326194331770766e-11,0.23351136457366128
9536,18.625,0.0,abs_npsigma,2,0.22660871138787755,0.03133377394447736,0.973140980517566,0.029010247238396653,0.16388721573824486,0.0008415944448329005,0.05003498077996214,0.050003786221965135,0.0026009421887649604,0.05199868544391101,0.026693352337783447,0.05198247602418542,0.07891432890053654,1.5771831560718799,0.03643279542711643,0.02856588190693809,0.00453690396190988,0.06415341618890315
9536,18.625,0.0,repsi2,4,-1.3489046922329573,1.254478389280521,0.944336762779576,0.26425050268716044,0.23593057712052493,0.06982832817041698,0.051311043205178056,0.05087836705762637,0.02153288212593316,0.42143079347568835,0.26697010921909037,0.41965395324022897,0.7290125796285575,14.207713078711858,0.9960425951792509,0.14123048968066337,-0.024924875016528514,0.32704675393222904
9536,18.625,0.0,impsi2,4,4.417044230020168e-11,0.04884423429013,0.8350123675532152,0.0897702321162456,0.40618669654087003,0.008058694574204613,0.05007649582463101,0.051759336636312325,0.013508086420778567,0.2652914223676478,0.15293140634015628,0.26974903491818164,0.13972636542506495,2.7902584460859594,0.1499527945724971,0.08542919967430007,3.0386176639231535e-10,0.18970317949233578
9536,18.625,0.0,abs_npsigma,4,0.22660871138787755,0.03133377394447736,0.9920662169359054,0.0157669072761549,0.08907178601608201,0.00024859536505486633,0.05003498077996214,0.050741173194080225,0.0,0.0,0.0,0.0,0.03019783960043192,0.6035345498229003,0.01224891390027901,0.015930678769235884,-0.0004791794957427209,0.034317797273543574
9536,18.625,0.0,repsi2,6,-1.3489046922329573,1.254478389280521,0.9575428462941696,0.23078470875325693,0.20605133754923893,0.05326158179432563,0.051311043205178056,0.050914329799008264,0.00280673244733114,0.05491263792632381,0.028231450677763347,0.054700358285599986,0.7955084475831979,15.50364985568875,0.9087072767945412,0.10714768530356128,-0.011964226577334758,0.20674445097934746
9536,18.625,0.0,impsi2,6,4.417044230020168e-11,0.04884423429013,0.9576463914596405,0.04548328900352055,0.20579992356742885,0.0020687295785777734,0.05007649582463101,0.05002042679907239,0.014151594315755568,0.28275783000754123,0.1646580982860344,0.28259953262933496,0.14023469453604578,2.8004094980437686,0.07611366474381114,0.04327105690794805,4.337761367042547e-10,0.09292312159428713
9536,18.625,0.0,abs_npsigma,6,0.22660871138787755,0.03133377394447736,0.9971417713242761,0.009463566516211431,0.05346240432045666,8.955909120675817e-05,0.05003498077996214,0.050187168544311926,0.0,0.0,0.0,0.0,0.020353375188232745,0.4067829120938486,0.00603581874525434,0.009610273677816366,0.000691860372503933,0.020219025268578387
9536,18.625,0.0,repsi2,8,-1.3489046922329573,1.254478389280521,0.9638844007742665,0.2128526221229116,0.19004104616038478,0.04530623874459899,0.051311043205178056,0.05024928672879237,0.00280673244733114,0.05527221995351808,0.028421571656778097,0.054700358285599986,0.834757997989407,16.26858363903167,0.8585268396424459,0.08883360893910384,-0.002290783691751397,0.19114133744821205
9536,18.625,0.0,impsi2,8,4.417044230020168e-11,0.04884423429013,0.990738026044619,0.021269556315675914,0.09623914980599604,0.00045239402586570916,0.05007649582463101,0.050126126050628064,0.006663869336882987,0.13300788366952612,0.07124180252616695,0.13307379494403931,0.09072457064419026,1.811719633137065,0.02862885150638814,0.020809509403372735,-1.396898923366985e-09,0.04567172137179112
9536,18.625,0.0,abs_npsigma,8,0.22660871138787755,0.03133377394447736,0.9989371310194238,0.005770935484821534,0.0326016714383821,3.330369636997235e-05,0.05003498077996214,0.05052743560991167,8.21730972646956e-05,0.0016342705399225086,0.0008178035260663018,0.0016423129575299856,0.01625082560193561,0.32478928438888677,0.0032888727113568996,0.00587265655199684,0.0002162360307050859,0.01110388969163513
9568,18.6875,0.0625,repsi2,2,-1.286223534658972,1.0985805793620798,0.9092356642668513,0.31577196920426115,0.3012711996410356,0.09971193653513684,0.050384133017637514,0.051267380755957576,0.048526557470041976,0.954763105213042,0.913441833114438,0.963131735402785,0.25771642056429145,5.1150313626330535,0.7141636245329929,0.2791801400846597,0.04416058666888967,0.6392711968815212
9568,18.6875,0.0625,impsi2,2,-9.69420556114507e-12,0.05066476064375142,0.7702243124198865,0.10789592306014095,0.479349233419762,0.011641530212999856,0.0500661906101203,0.0506331097916707,0.013014275466701065,0.2584779718384141,0.1484207306359902,0.25994139574242703,0.0955707429596577,1.9088878501640822,0.14907171287978652,0.10527994845479242,-7.440752231388076e-12,0.23025287481101117
9568,18.6875,0.0625,abs_npsigma,2,0.21948217310829898,0.027434251229900473,0.9740527470063234,0.02668039462516086,0.16108151040289093,0.0007118434573543125,0.050015686681310546,0.05053998557969801,0.002605428135470749,0.05182060995441287,0.026599506297620916,0.05209221962845357,0.09634598183556077,1.9263152868310525,0.037030189490904315,0.026021667538714,0.00459053414695991,0.06252322341615485
9568,18.6875,0.0625,repsi2,4,-1.286223534658972,1.0985805793620798,0.9794953033677564,0.15008684654523843,0.14319461104470266,0.02252606150589395,0.050384133017637514,0.05128496981740652,0.025674218197846814,0.5050544852255201,0.33784139972600274,0.5095695144512912,0.18059631541669244,3.584388667628214,0.2841516489271573,0.13941760174823203,-0.00932436068714182,0.28409783067710226
9568,18.6875,0.0625,impsi2,4,-9.69420556114507e-12,0.05066476064375142,0.8679582164281602,0.08179159712122812,0.36337554069012373,0.006689865359641292,0.0500661906101203,0.05043648202219796,0.013014275466701065,0.25898366930624517,0.14875430215123034,0.25994139574242703,0.13984082495482805,2.7931189341687372,0.13669524352754064,0.07783078830145304,3.1386655786134707e-10,0.1727365165564522
9568,18.6875,0.0625,abs_npsigma,4,0.21948217310829898,0.027434251229900473,0.993321088673718,0.013536282032650103,0.08172460661442135,0.000183230931267446,0.050015686681310546,0.050333471307127044,0.0,0.0,0.0,0.0,0.021650476814888794,0.4328737292530059,0.00890594501062299,0.01373688290489484,0.00033810053130809564,0.030328549781957273
9568,18.6875,0.0625,repsi2,6,-1.286223534658972,1.0985805793620798,0.9905786507777086,0.10173549669116187,0.09706363491180123,0.010350111286997407,0.050384133017637514,0.05037962871664432,0.0,0.0,0.0,0.0,0.055765108286710614,1.1067990049007974,0.10703033622791831,0.1014468463409361,-0.006510113420019503,0.13845047704869085
9568,18.6875,0.0625,impsi2,6,-9.69420556114507e-12,0.05066476064375142,0.9661737706597,0.04139804117354999,0.18391908367621881,0.0017137978130069402,0.0500661906101203,0.05151099082556498,0.013014275466701065,0.25624407534759563,0.14694950808478235,0.25994139574242703,0.1379542665570994,2.755437649159062,0.06871872391863651,0.039436491713884136,4.077203071381187e-10,0.09095730417119846
9568,18.6875,0.0625,abs_npsigma,6,0.21948217310829898,0.027434251229900473,0.9973832879685111,0.00847275252017725,0.05115380759522119,7.178753526816995e-05,0.050015686681310546,0.051563730849803584,0.0,0.0,0.0,0.0,0.015867755945852834,0.31725558517188507,0.004772315633898349,0.008623687986593402,0.0004608595318973119,0.01728480680749049
9568,18.6875,0.0625,repsi2,8,-1.286223534658972,1.0985805793620798,0.9942013689795498,0.07981393002448324,0.07614874273716013,0.006370263425953107,0.050384133017637514,0.050539731405552436,0.0037448358379631357,0.07421110674598107,0.03853543189803429,0.0743256976685937,0.018924559532912333,0.375605540861199,0.04891529658024606,0.08112522543628199,0.0007162097793642075,0.0959416228628786
9568,18.6875,0.0625,impsi2,8,-9.69420556114507e-12,0.05066476064375142,0.9922302345758646,0.019840698210292863,0.08814627288850875,0.00039365330547191837,0.0500661906101203,0.051627230087649585,0.009710027782220146,0.1909666862535402,0.10556283557766732,0.19394381046153283,0.0926775736209726,1.8511009623775714,0.026994295927143204,0.019390593476952066,-7.26425878426137e-10,0.03797168615760514
9568,18.6875,0.0625,abs_npsigma,8,0.21948217310829898,0.027434251229900473,0.9990000179277182,0.005237724639227847,0.03162249313829899,2.7433759396374474e-05,0.050015686681310546,0.05018547346504381,2.9971938325261167e-05,0.0005982353553887797,0.0002992071758499796,0.0005992507613908426,0.013671537377513972,0.27334499003534907,0.0027384084225758115,0.005336975739123036,0.00013437864333065708,0.009790698963074523
9600,18.75,0.125,repsi2,2,-1.2371997388849252,1.0076007456659608,0.9065494625578235,0.30685636902241703,0.3056968063983928,0.09416083120962178,0.05090363175258421,0.05019771614164365,0.0474855426645138,0.939365174719394,0.8856631446840071,0.9328517638056957,0.2682475247365599,5.269712896721595,0.7044150385897289,0.26944001010932356,0.045787852370046345,0.6074417559489507
9600,18.75,0.125,impsi2,2,-2.342586589357124e-11,0.052154405896262954,0.7991339554380693,0.10235257309349764,0.44818081681608235,0.010476049218859777,0.050078283076191825,0.05049535604561289,0.012629579402164696,0.2511508882932836,0.14360923799091124,0.25219673332149517,0.09614990919619305,1.9199921261259167,0.14182359469819658,0.09983965228517686,4.704731224393676e-11,0.22293779925836976
9600,18.75,0.125,abs_npsigma,2,0.21452990142073405,0.02496515096419731,0.9744829766077358,0.025239578862271666,0.15974048764250165,0.0006370363411448306,0.05000282897638813,0.05083015868747513,0.004285740617302669,0.08500671688097965,0.04439008618480691,0.08570996291682699,0.1078463080536559,2.1568041301139598,0.037067001653948974,0.024459117686179428,0.004694240535769223,0.05945733885380883
9600,18.75,0.125,repsi2,4,-1.2371997388849252,1.0076007456659608,0.9802015623052476,0.1412406477762463,0.1407069212752254,0.01994892058425366,0.05090363175258421,0.05038501516774486,0.02164239915732465,0.4273410656645059,0.2717315600569637,0.42516414668636954,0.1953618609672135,3.837876674826755,0.2766974828188331,0.13004835162878298,-0.007937188598957867,0.26440945382379577
9600,18.75,0.125,impsi2,4,-2.342586589357124e-11,0.052154405896262954,0.8876594210215705,0.07654447174461525,0.3351724615454402,0.005859056154662202,0.050078283076191825,0.051305716962221234,0.012629579402164696,0.2491434427006138,0.14229803216141582,0.25219673332149517,0.13848859538465752,2.7654421613048004,0.12729053741561167,0.07289545270624832,1.6210654984906007e-10,0.15824677551470312
9600,18.75,0.125,abs_npsigma,4,0.21452990142073405,0.02496515096419731,0.9940851169468122,0.012151787866746436,0.07690827688349158,0.0001476659483584059,0.05000282897638813,0.05116798569411428,0.0,0.0,0.0,0.0,0.018880972111385876,0.3775980779067855,0.007467153291075302,0.012349229813375535,0.00046961660531568555,0.02611420483739881
9600,18.75,0.125,repsi2,6,-1.2371997388849252,1.0076007456659608,0.9921904706881218,0.08870675035164226,0.0883715413007951,0.007868887557948583,0.05090363175258421,0.050276209125881294,0.0036763166125883253,0.07266895422387978,0.03770444853422501,0.0722211065500585,0.06323468356916301,1.2422430658094015,0.09886895875094216,0.08812860898941066,-0.00629501961647283,0.14347718735115111
9600,18.75,0.125,impsi2,6,-2.342586589357124e-11,0.052154405896262954,0.9712690489832229,0.038709762090648935,0.16950206788348365,0.0014984456811146414,0.050078283076191825,0.050540236547775626,0.012629579402164696,0.2510388634093224,0.1435359872539437,0.25219673332149517,0.1332592042297772,2.661017831362736,0.06314578906605366,0.03697610940290425,8.857968249028616e-11,0.0881897867064974
9600,18.75,0.125,abs_npsigma,6,0.21452990142073405,0.02496515096419731,0.9975538492164246,0.007814635218175386,0.049458576441051214,6.106852359314708e-05,0.05000282897638813,0.05106892181916234,0.0,0.0,0.0,0.0,0.013839988116282464,0.27678410201186526,0.004111301067049168,0.007961983043790786,0.0005190174091339594,0.015487746475626962
9600,18.75,0.125,repsi2,8,-1.2371997388849252,1.0076007456659608,0.995797978303511,0.06506888807015859,0.06482300283455686,0.004233960194686827,0.05090363175258421,0.05071320404260089,0.0,0.0,0.0,0.0,0.01591573111102988,0.31266396056744794,0.03638415538879123,0.06625739763830212,0.0006185565682249594,0.08820998089891041
9600,18.75,0.125,impsi2,8,-2.342586589357124e-11,0.052154405896262954,0.9931859804746073,0.01885155537647734,0.08254707460226982,0.00035538114011239173,0.050078283076191825,0.05009739466639306,0.009416290358491964,0.18799554084751813,0.10375004316239275,0.18803141362026146,0.0911246074085654,1.8196432028215397,0.02542964561326962,0.018439767992764672,-1.604803739224731e-10,0.039861459214479235
9600,18.75,0.125,abs_npsigma,8,0.21452990142073405,0.02496515096419731,0.9990451059822626,0.004882527348374404,0.030901359480408556,2.3839073307623992e-05,0.05000282897638813,0.05054732438951737,3.185189683012037e-05,0.0006335524266026768,0.000316876592268321,0.0006370018953359855,0.012298007936601853,0.24594624320974126,0.0024213902043272047,0.00497847686617857,0.00019314200383498126,0.00928347937125096
9632,18.8125,0.1875,repsi2,2,-1.2036768362968742,0.9378533232467181,0.9064299564389328,0.2962346642614383,0.30589220905584896,0.08775497631008708,0.05005739668519439,0.05002007603953283,0.048406862074553414,0.9673877798193641,0.9368354944028628,0.9670271584233393,0.2693847572424411,5.381517519510114,0.6872080779770626,0.25979546050398994,0.05233944156174933,0.5757788730931932
9632,18.8125,0.1875,impsi2,2,-2.6523410447358423e-11,0.05347275021565281,0.8205647215327938,0.09795354932493779,0.4235980151832704,0.00959489782535302,0.05056910612506413,0.05123788959239842,0.010783794158304286,0.2118478024483063,0.11847302636675142,0.21324866078578744,0.08492206194827304,1.6793269340820358,0.12693687544555554,0.09616511161255434,6.000589795373689e-11,0.2137765338454976
9632,18.8125,0.1875,abs_npsigma,2,0.21041242261939916,0.023092449565368028,0.9747430389900564,0.02415046786910325,0.15892438771297362,0.0005832450982965885,0.05000040519445437,0.05008049051551656,0.006219479744236313,0.12428905037500929,0.0662623686234056,0.12438858685341467,0.11688035371856796,2.3375881308164153,0.03692406829068214,0.02328485897459139,0.004366254226977207,0.055819272442694266
9632,18.8125,0.1875,repsi2,4,-1.2036768362968742,0.9378533232467181,0.9818712255810984,0.13039222114511642,0.13464313728854355,0.017002131335156948,0.05005739668519439,0.050485655319369854,0.028172465316358822,0.5604060102547893,0.3892805987290721,0.5628032455129947,0.21489640520007863,4.293000024582563,0.27016689330816374,0.11854042596738928,-0.01122273528088491,0.25572660402088365
