iteration,t_M,L,columns,rank,condition,s_min,s_max,relative_normal_equation_error
9536,18.625,2,9,9,2.2473868321954615,0.18689346203230725,0.42002190559482977,1.104210350386377e-15
9536,18.625,4,25,25,2.8045012277481196,0.16467894565787364,0.4618423052817725,8.14537449654708e-16
9536,18.625,6,49,49,3.0285497145074154,0.1575145481652589,0.47704063987665934,1.3122430547647272e-15
9536,18.625,8,81,81,3.1359133386446403,0.15436917487597138,0.48408835456912575,6.089158029369568e-16
9568,18.6875,2,9,9,2.150430293458576,0.19247048535497135,0.4138943623040056,8.775724163954672e-16
9568,18.6875,4,25,25,2.654683129065445,0.17128821017332047,0.45471592175493,2.0754167535750804e-15
9568,18.6875,6,49,49,2.860122391844998,0.16431719249143356,0.4699672816098539,2.9373475447062936e-15
9568,18.6875,8,81,81,2.959422248672232,0.16122585851039417,0.4771353927369419,7.6106886881058685e-16
9600,18.75,2,9,9,2.0856575289902657,0.19633088786377764,0.40947899444643143,1.5987872549339747e-15
9600,18.75,4,25,25,2.555687806164742,0.1758816227314225,0.4494985185431639,2.157776953592721e-15
9600,18.75,6,49,49,2.7488087314979563,0.16906278625906518,0.46472126304029104,2.4844151028597726e-15
9600,18.75,8,81,81,2.8427105880840338,0.16601848324402405,0.47194250013543887,8.460890159810866e-16
9632,18.8125,2,9,9,2.034562354622544,0.19945326565474902,0.40580010580768194,5.190427269313098e-16
9632,18.8125,4,25,25,2.4781847105032853,0.179608444817133,0.44510290182309203,1.1563432047049098e-15
9632,18.8125,6,49,49,2.661656216504517,0.17292358244588094,0.46026312819731036,9.52268499484062e-16
9632,18.8125,8,81,81,2.7512946632645265,0.16992315446826603,0.46750866805361413,4.728513645872862e-16
9664,18.875,2,9,9,1.9920149933735671,0.20210726425674755,0.40260070066915477,4.441058522278431e-16
9664,18.875,4,25,25,2.414024114447659,0.18278539770964727,0.4412483578399944,2.513423446242903e-15
9664,18.875,6,49,49,2.5894969391306573,0.17622233146774804,0.4563271879422017,8.696632882328511e-16
9664,18.875,8,81,81,2.675574261545995,0.17326349415869202,0.46357934543652124,2.438392487710508e-15
9696,18.9375,2,9,9,1.9552111978290334,0.2044433412710485,0.3997299101747366,2.277711046316285e-15
9696,18.9375,4,25,25,2.358793084908088,0.18558900598420364,0.43776606395050527,2.1383324592988034e-15
9696,18.9375,6,49,49,2.527373076288863,0.179139182669766,0.45275154718795907,2.2566949439284448e-15
9696,18.9375,8,81,81,2.6103607589728526,0.1762202646795854,0.45999846385539955,1.4092425347904004e-15
9728,19.0,2,9,9,1.922546576763836,0.20654832456522218,0.3970987743291736,2.1478637638786676e-15
9728,19.0,4,25,25,2.3099774980465315,0.18812105811673163,0.4345554111583539,1.961672712452729e-15
9728,19.0,6,49,49,2.4724613689012593,0.1817780801874295,0.4494392809764548,7.456384289273466e-16
