iteration,t_M,tau_M,area_physical_fejer,area_physical_midpoint,area_coordinate_fd4_fejer,physical_to_coordinate_area,physical_to_coordinate_density_min,physical_to_coordinate_density_max,max_tangent_residual,min_q_eigenvalue,full_tetrad_q_difference_max,local_phase_density_relative_difference,local_boost_full_tetrad_q_difference_max,angular_grid_radial_fit_max_error,region_boundary_margin,second_order_mismatch_area_relative,second_order_mismatch_tangent_residual
9536,18.625,0.0,37.30527648018054,37.30877222265127,4.401483162155561,8.475614947464853,7.4208148140078665,9.782968622792653,4.297898895240543e-15,0.0014355608494791086,1.958018082809317e-15,8.881784197001252e-16,1.958018082809317e-15,6.24866756799926e-16,9.052307341517185e-05,-0.010429365107419653,0.006600250737568062
9568,18.6875,0.0625,37.73099686696203,37.734866801685186,4.580441963944736,8.237414023354988,7.20734906844827,9.586065683390956,3.3154545532280904e-15,0.0015990200547542895,2.5638243975364603e-15,1.1102230246251565e-15,2.5638243975364603e-15,6.792080818584259e-16,0.0005745804269805532,-0.009733666701371213,0.006163031673883421
9600,18.75,0.125,38.02280460536191,38.026949899535666,4.704917385593887,8.081503135801059,7.070066803355717,9.449712082216006,3.9224550072335835e-15,0.0017203759791384924,1.536784262459106e-15,8.881784197001252e-16,1.3785445713624396e-15,6.310306065056302e-16,0.0013339464215299524,-0.009258563280211796,0.005856927826894727
9632,18.8125,0.1875,38.2581930687998,38.262571379367955,4.806679596535192,7.959380753478457,6.964219350700137,9.335371980617426,3.861126177671683e-15,0.001823740796568119,1.7064466451565944e-15,1.1102230246251565e-15,1.7064466451565944e-15,6.775530527567988e-16,0.0006743124629695618,-0.008878678499725123,0.005610592109893857
9664,18.875,0.25,38.45638125655612,38.46096501288052,4.893374926977263,7.858866698430445,6.878195513918691,9.252396259060985,3.597878490630757e-15,0.001915394693007124,2.0707037531739365e-15,8.881784197001252e-16,2.224056478668718e-15,6.422099982615981e-16,3.646697242909447e-05,-0.008559295032649628,0.005418738957638637
9696,18.9375,0.3125,38.6294628397313,38.63423321236108,4.969929034932435,7.772638717417111,6.805253688451322,9.179332803604984,4.723738349914495e-15,0.001998639786383826,2.077253743058364e-15,1.1102230246251565e-15,1.4970657487932606e-15,6.947985459046575e-16,0.00019156502693373767,-0.008281116032617053,0.00524752704157994
10368,20.25,1.625,40.35623828535884,40.36342276173396,5.804608790473834,6.952447570900731,6.175053400322874,8.345443439911186,6.5933534821571345e-15,0.0030772233373393,1.5823144927338429e-15,1.1102230246251565e-15,1.5800090256995317e-15,6.687305430203594e-16,0.00017537752247520633,-0.00551894724205082,0.0035317804810361523
10400,20.3125,1.6875,40.3978047701613,40.40506913760384,5.827363139154963,6.932433041408067,6.161787858510857,8.321267470087099,5.238284847199701e-15,0.003111960795173122,1.2484531632673386e-15,1.1102230246251565e-15,1.1970298893289715e-15,7.053913537507799e-16,0.0003159366306543232,-0.00544952147258615,0.0034887497948239143
10432,20.375,1.75,40.43742898041448,40.444771292041025,5.8492598649209615,6.9132556792227415,6.149197452625962,8.295062194304954,4.4592322820878096e-15,0.0031454585320163557,1.2221619841568424e-15,8.881784197001252e-16,1.3187968519647648e-15,6.926868780131649e-16,0.000334007637244782,-0.005382890653166772,0.003444804085753138
10464,20.4375,1.8125,40.47517591752626,40.48259428583991,5.87032349983517,6.894879970186096,6.137243665448349,8.266771181100454,3.3841133354750547e-15,0.003178205606932565,1.2791877148356408e-15,8.881784197001252e-16,1.2791877148356408e-15,6.943081028372506e-16,0.00010863892446566492,-0.0053188859989714565,0.0034000866233291327
10496,20.5,1.875,40.51109449505919,40.51858708228471,5.8905659531117625,6.877283917627425,6.125894487646825,8.250548329549035,5.2934586624271034e-15,0.003210230929585217,1.1350043582668275e-15,1.4432899320127035e-15,1.3385635779339257e-15,6.836379541088331e-16,0.0005800987893310738,-0.005257353608187798,0.003354742795312969
10528,20.5625,1.9375,40.5453289333203,40.55289398950755,5.910044506254605,6.86041008496825,6.115097747553686,8.232563546183226,4.50624519282519e-15,0.0032415759894832636,1.4114495774342279e-15,9.992007221626409e-16,1.4115236177030463e-15,6.940055602185109e-16,0.0006578369240372028,-0.005198143705776426,0.003315144846509367
