stage,sxs_id,lev,horizon,snapshot_index,field,actual_time_M,offset_M,n_surface_points,Mch,gradient_q95,active_points,largest_component_points,largest_component_fraction_of_active,shuffle_p,centroid_x,centroid_y,centroid_z,candidate_snapshot
BH-HF1R,SXS:BBH:0305,6,C,0,Rstar,3685.496267868691,0.0,1922,0.8867901968132439,3.0360228484117586,97,63,0.6494845360824743,0.005,0.9504873590169368,-0.3107632223236768,-1.1603633564178399e-07,True
BH-HF1R,SXS:BBH:0305,6,C,0,Estar,3685.496267868691,0.0,1922,0.8867901968132439,3.897478000983749,97,36,0.3711340206185567,0.645,0.9366144913713523,-0.3503616625048599,-1.1634110315522086e-07,False
BH-HF1R,SXS:BBH:0305,6,C,0,Bstar,3685.496267868691,0.0,1922,0.8867901968132439,1.9145248422514174,97,37,0.38144329896907214,0.985,-0.09888486348300853,0.9950988814052306,-7.578288943714417e-08,False
BH-HF1R,SXS:BBH:0305,6,C,1,Rstar,3685.5015130744273,0.005245205736173375,1922,0.8870099036314565,3.0455623302428334,97,63,0.6494845360824743,0.005,0.9505362729937793,-0.3106135762053587,-1.1590203948010972e-07,True
BH-HF1R,SXS:BBH:0305,6,C,1,Estar,3685.5015130744273,0.005245205736173375,1922,0.8870099036314565,3.9014376113654468,97,36,0.3711340206185567,0.71,0.9366568004262782,-0.35024853777738113,-1.1621020159870981e-07,False
BH-HF1R,SXS:BBH:0305,6,C,1,Bstar,3685.5015130744273,0.005245205736173375,1922,0.8870099036314565,1.9059345538710155,97,37,0.38144329896907214,0.99,-0.09905799161100239,0.9950816621252694,-7.577785428616412e-08,False
BH-HF1R,SXS:BBH:0305,6,C,2,Rstar,3685.505672139157,0.009404270465893205,1922,0.8871829788042366,3.0445730442327803,97,63,0.6494845360824743,0.005,0.9505746755507527,-0.3104960325053569,-1.1579577695943754e-07,True
BH-HF1R,SXS:BBH:0305,6,C,2,Estar,3685.505672139157,0.009404270465893205,1922,0.8871829788042366,3.90963859590155,97,36,0.3711340206185567,0.615,-0.020881447307550257,-0.9997819588081877,-7.177613685074933e-08,False
BH-HF1R,SXS:BBH:0305,6,C,2,Bstar,3685.505672139157,0.009404270465893205,1922,0.8871829788042366,1.901215333072672,97,37,0.38144329896907214,0.99,-0.09919472011459787,0.9950680416440781,-7.577353550752637e-08,False
BH-HF1R,SXS:BBH:0305,6,C,3,Rstar,3685.5097272272683,0.013459358577165403,1922,0.8873507807400932,3.0403409522015155,97,63,0.6494845360824743,0.005,0.9506117965600024,-0.3103823645778723,-1.1569246997316042e-07,True
BH-HF1R,SXS:BBH:0305,6,C,3,Estar,3685.5097272272683,0.013459358577165403,1922,0.8873507807400932,3.909729381934661,97,36,0.3711340206185567,0.64,-0.021024912042677285,-0.9997789521057104,-7.17901084029411e-08,False
BH-HF1R,SXS:BBH:0305,6,C,3,Bstar,3685.5097272272683,0.013459358577165403,1922,0.8873507807400932,1.902107395213246,97,37,0.38144329896907214,0.995,-0.09932757030294559,0.9950547893345912,-7.576912335158071e-08,False
BH-HF1R,SXS:BBH:0305,6,C,4,Rstar,3685.513396116512,0.017128247820892284,1922,0.8875017870395132,3.044243582612079,97,61,0.6288659793814433,0.005,0.9522200724539063,-0.30541272667631914,-1.1622257161840884e-07,True
BH-HF1R,SXS:BBH:0305,6,C,4,Estar,3685.513396116512,0.017128247820892284,1922,0.8875017870395132,3.9007206493935085,97,36,0.3711340206185567,0.67,-0.021154276955526637,-0.9997762232452239,-7.180253963885997e-08,False
BH-HF1R,SXS:BBH:0305,6,C,4,Bstar,3685.513396116512,0.017128247820892284,1922,0.8875017870395132,1.9027976035992757,97,37,0.38144329896907214,0.995,-0.09944737624072011,0.9950428228769005,-7.576492731941244e-08,False
BH-HF1R,SXS:BBH:0305,6,C,5,Rstar,3685.5184221450727,0.022154276381570526,1922,0.8877074248157094,3.0496788037427125,97,61,0.6288659793814433,0.005,0.952265471825306,-0.30527114368920266,-1.1609426046183177e-07,True
BH-HF1R,SXS:BBH:0305,6,C,5,Estar,3685.5184221450727,0.022154276381570526,1922,0.8877074248157094,3.895297917705953,97,36,0.3711340206185567,0.69,-0.021330832762234197,-0.9997724719023146,-7.181928638460702e-08,False
BH-HF1R,SXS:BBH:0305,6,C,5,Bstar,3685.5184221450727,0.022154276381570526,1922,0.8877074248157094,1.8980086985653897,97,37,0.38144329896907214,0.995,-0.09961090505139779,0.9950264657760796,-7.57589074037804e-08,False
BH-HF1R,SXS:BBH:0305,6,C,6,Rstar,3685.522657921814,0.026390053122668178,1922,0.8878796421151282,3.0512812073407254,97,61,0.6288659793814433,0.005,0.9523033669498412,-0.305152908057555,-1.1598641810222005e-07,True
BH-HF1R,SXS:BBH:0305,6,C,6,Estar,3685.522657921814,0.026390053122668178,1922,0.8878796421151282,3.9133075526604744,97,36,0.3711340206185567,0.71,-0.021479040808325287,-0.9997692987914506,-7.183313006709192e-08,False
BH-HF1R,SXS:BBH:0305,6,C,6,Bstar,3685.522657921814,0.026390053122668178,1922,0.8878796421151282,1.893606633577768,97,37,0.38144329896907214,0.99,-0.09974819482146069,0.9950127122956038,-7.575357303477703e-08,False
BH-HF1R,SXS:BBH:0305,6,C,7,Rstar,3685.526764224483,0.0304963557919109,1922,0.8880456590688651,3.0536176991907835,97,61,0.6288659793814433,0.005,0.9523397881028387,-0.30503922370119346,-1.1588211482370441e-07,True
BH-HF1R,SXS:BBH:0305,6,C,7,Estar,3685.526764224483,0.0304963557919109,1922,0.8880456590688651,3.915028126395857,97,51,0.5257731958762887,0.025,0.0936860085006446,-0.9702376707404753,-0.2232975460843993,False
BH-HF1R,SXS:BBH:0305,6,C,7,Bstar,3685.526764224483,0.0304963557919109,1922,0.8880456590688651,1.8893304347892017,97,37,0.38144329896907214,1.0,-0.09988083356188658,0.9949994065761935,-7.574817090859203e-08,False
BH-HF1R,SXS:BBH:0305,6,C,8,Rstar,3685.5305243643325,0.03425649564132982,1922,0.888196880904762,3.047775446741453,97,61,0.6288659793814433,0.005,0.9523728693495936,-0.30493592396896824,-1.1578682341234998e-07,True
