iteration,t_M,tau_M,field,measure,quantile,median,deviation_cutoff,vertices,selected_measure_fraction,long_axis_fraction,polar_fraction
9536,18.625,0.0,repsi2,fejer,0.9,-1.2799983777163768,1.7845622210052263,231,0.1002466941828441,0.954498963849189,0.017502781742422775
9536,18.625,0.0,repsi2,fejer,0.95,-1.2799983777163768,2.079284393716837,28,0.051311043205178056,0.9452996417144,0.0
9536,18.625,0.0,repsi2,fejer,0.98,-1.2799983777163768,2.295805268856034,12,0.021275560769238148,0.868077157741039,0.0
9536,18.625,0.0,repsi2,midpoint,0.9,-1.2799983777163768,1.7845622210052263,231,0.10035495897653932,0.9533137356207649,0.018735337790191035
9536,18.625,0.0,repsi2,midpoint,0.95,-1.2799983777163768,2.079284393716837,28,0.05131074808138398,0.9453328162990188,0.0
9536,18.625,0.0,repsi2,midpoint,0.98,-1.2799983777163768,2.295805268856034,12,0.02127404449100303,0.8681485275455713,0.0
9536,18.625,0.0,repsi2,matched_triangle_support,0.9,-1.2799983777150579,1.7845622210059826,232,0.10144738293659482,0.9557147793888641,0.016815544926006003
9536,18.625,0.0,repsi2,matched_triangle_support,0.95,-1.2799983777150579,2.0792843937181558,28,0.051152512657490275,0.9455212156041489,0.0
9536,18.625,0.0,repsi2,matched_triangle_support,0.98,-1.2799983777150579,2.295805268857353,12,0.021191257955360716,0.8684964000606437,0.0
9536,18.625,0.0,impsi2,fejer,0.9,-6.02353935727944e-15,0.3614776700940822,952,0.1003972792375527,0.4474120604866547,0.7310013631179809
9536,18.625,0.0,impsi2,fejer,0.95,-6.02353935727944e-15,0.3934935074506505,773,0.05007649582463101,0.26974903491818164,0.7302509650818183
9536,18.625,0.0,impsi2,fejer,0.98,-6.02353935727944e-15,0.42367107577190255,500,0.021575797361751525,0.3088585429846665,0.6911414570153335
9536,18.625,0.0,impsi2,midpoint,0.9,-6.02353935727944e-15,0.3614776700940822,952,0.10048203823743654,0.4469596442804918,0.7311812054067641
9536,18.625,0.0,impsi2,midpoint,0.95,-6.02353935727944e-15,0.39399220181614625,771,0.05000702092535936,0.2702493304944566,0.7297506695055433
9536,18.625,0.0,impsi2,midpoint,0.98,-6.02353935727944e-15,0.423671075771934,499,0.020007482882508688,0.24991772662318884,0.7500822733768111
9536,18.625,0.0,impsi2,matched_triangle_support,0.9,-6.02353935727944e-15,0.3614776700940822,952,0.10048004352790604,0.443769033556783,0.7328715381852202
9536,18.625,0.0,impsi2,matched_triangle_support,0.95,-6.02353935727944e-15,0.39399220181614625,771,0.050054004999009506,0.26828489654846654,0.7317151034515336
9536,18.625,0.0,impsi2,matched_triangle_support,0.98,-6.02353935727944e-15,0.42367107577190255,500,0.02156382115811733,0.30707613888226476,0.6929238611177354
9536,18.625,0.0,abs_npsigma,fejer,0.9,0.18701011249693525,0.3085860967186803,1189,0.10013087133525189,0.0,0.955398329720337
9536,18.625,0.0,abs_npsigma,fejer,0.95,0.18701011249693525,0.37622278228131334,887,0.05003498077996214,0.0,1.0
9536,18.625,0.0,abs_npsigma,fejer,0.98,0.18701011249693525,0.42761259982038413,584,0.02005717230543646,0.0,1.0
9536,18.625,0.0,abs_npsigma,midpoint,0.9,0.18701011249693525,0.3085860967186803,1189,0.10022402734071043,0.0,0.9554401071293499
9536,18.625,0.0,abs_npsigma,midpoint,0.95,0.18701011249693525,0.37622278228131334,887,0.05012869504937257,0.0,1.0
9536,18.625,0.0,abs_npsigma,midpoint,0.98,0.18701011249693525,0.4276125998210547,582,0.020026946042844024,0.0,1.0
9536,18.625,0.0,abs_npsigma,matched_triangle_support,0.9,0.18783716433822426,0.30901733350067695,1186,0.10022158102676161,0.0,0.955084080431956
9536,18.625,0.0,abs_npsigma,matched_triangle_support,0.95,0.18783716433822426,0.3753957304404012,885,0.050118919138747026,0.0,1.0
9536,18.625,0.0,abs_npsigma,matched_triangle_support,0.98,0.18783716433822426,0.42678554797976564,582,0.020034177084732534,0.0,1.0
9568,18.6875,0.0625,repsi2,fejer,0.9,-1.1757129870070573,1.6706512729480791,58,0.1016432960777472,1.0,0.0
9568,18.6875,0.0625,repsi2,fejer,0.95,-1.1757129870070573,1.9878831443894933,28,0.050384133017637514,1.0,0.0
