iteration,t_M,tau_M,field,quantile,median,deviation_cutoff,selected_vertices,coordinate_area_fraction,components,largest_component_fraction,long_axis_region_fraction,transverse_region_fraction,polar_region_fraction,u_rms,v_rms,w_rms
9600,18.75,0.125,abs_npsigma,0.95,0.2048959169731339,0.3152805795554804,789,0.05001611542710763,2,0.5016853272606959,0.0,0.0,1.0,0.0949667591485605,0.2272209707078065,0.9250451017447348
9600,18.75,0.125,abs_npsigma,0.98,0.2048959169731339,0.34738450958561096,513,0.020037084795576574,2,0.5020492817702635,0.0,0.0,1.0,0.05919487840456424,0.1494822472713925,0.9397487872419481
9632,18.8125,0.1875,repsi2,0.9,-0.9599982706074971,1.5772570348738078,69,0.10092249885896692,2,0.5074680482868089,1.0,0.0,0.0,0.9197350076438919,0.3615791150262471,0.26002192789677575
9632,18.8125,0.1875,repsi2,0.95,-0.9599982706074971,1.9529818383684456,34,0.05054140568527898,2,0.5273989929941774,1.0,0.0,0.0,0.9415682617628564,0.28437615827279816,0.2032442468914596
9632,18.8125,0.1875,repsi2,0.98,-0.9599982706074971,2.271710136630963,14,0.021089590258226733,2,0.5000001173086444,1.0,0.0,0.0,0.9604702196510316,0.2159733225002113,0.13642878993814653
9632,18.8125,0.1875,impsi2,0.9,3.317118030886838e-16,0.3585166987292093,956,0.10009863867785598,6,0.39033435994766025,0.2201618717773217,0.0,0.8857871153268057,0.3892261128298729,0.3742738017906155,0.8538288491265861
9632,18.8125,0.1875,impsi2,0.95,3.317118030886838e-16,0.3907569504771173,729,0.05000586907220064,6,0.443255527970581,0.11539588837722964,0.0,0.8846041116227703,0.30067216817187653,0.28475575169885214,0.8937103757364605
9632,18.8125,0.1875,impsi2,0.98,3.317118030886838e-16,0.4167938070310962,495,0.020048080423846027,2,0.501691124622465,0.0,0.0,1.0,0.050205398512525784,0.1797715932530371,0.9449715410141495
9632,18.8125,0.1875,abs_npsigma,0.9,0.2021443665800789,0.24750153047790707,1053,0.10014743011097185,2,0.5019510233407828,0.0,0.0,1.0,0.13373892648018257,0.32637737767156405,0.9078753636314574
9632,18.8125,0.1875,abs_npsigma,0.95,0.2021443665800789,0.2991742826013924,774,0.050101564245026826,2,0.5002047079209472,0.0,0.0,1.0,0.09762765438166697,0.22029381291698835,0.938477123284398
9632,18.8125,0.1875,abs_npsigma,0.98,0.2021443665800789,0.3316852010024545,502,0.020054324102049485,2,0.5001859214850559,0.0,0.0,1.0,0.05846444599767127,0.15155734552499608,0.9510643337364681
9664,18.875,0.25,repsi2,0.9,-0.920020538400126,1.5662264169800308,70,0.10031801672010059,2,0.5000000000000007,1.0,0.0,0.0,0.9206414992270527,0.3593837812815119,0.25613200651669893
9664,18.875,0.25,repsi2,0.95,-0.920020538400126,1.9395180465198991,35,0.05101925139772164,2,0.5140815723388154,1.0,0.0,0.0,0.9433057871935202,0.2849782118722838,0.19144139367694638
9664,18.875,0.25,repsi2,0.98,-0.920020538400126,2.2146431229578667,14,0.020734617952410463,2,0.5719808018538209,1.0,0.0,0.0,0.966312518559356,0.19300800850903754,0.13453428031509262
9664,18.875,0.25,impsi2,0.9,-1.4459352004288525e-15,0.3619963797692589,927,0.10005475636437486,6,0.37177710974976086,0.2570829135537312,0.0,0.8460509001046116,0.42349391473738596,0.36198612139280395,0.8567235982818585
9664,18.875,0.25,impsi2,0.95,-1.4459352004288525e-15,0.3920765226443485,718,0.050072776493726816,6,0.44406219329424595,0.11246633244708615,0.0,0.8875336675529139,0.2962737371922101,0.28311011726311625,0.9051523046947502
9664,18.875,0.25,impsi2,0.98,-1.4459352004288525e-15,0.4164945794256566,493,0.020091328779962357,2,0.5024305288173081,0.0,0.0,1.0,0.05451706942595083,0.16130012038672467,0.9588979698914667
9664,18.875,0.25,abs_npsigma,0.9,0.20816953826354226,0.23026509642130047,1037,0.10009606100393784,2,0.5019130542042561,0.0,0.0,1.0,0.134550339984498,0.3248986801411545,0.9179922503101202
9664,18.875,0.25,abs_npsigma,0.95,0.20816953826354226,0.27781228000059044,761,0.05016839505996398,2,0.5019049244683415,0.0,0.0,1.0,0.09660035228028017,0.22517777819467918,0.9468430649525177
9664,18.875,0.25,abs_npsigma,0.98,0.20816953826354226,0.30981983337372054,492,0.020018566374514057,2,0.5001896440052583,0.0,0.0,1.0,0.05951230886230451,0.15007824671661316,0.9614581967998963
9696,18.9375,0.3125,repsi2,0.9,-0.8944082408726798,1.5397398200996952,72,0.10082355313053493,2,0.5000000000000016,1.0,0.023631326778593104,0.0,0.9180470854784942,0.3617506088021046,0.25386682827296464
9696,18.9375,0.3125,repsi2,0.95,-0.8944082408726798,1.9085287649540947,35,0.05021849177312233,2,0.5147521916220932,1.0,0.0,0.0,0.9479165852670118,0.26309505333577293,0.20025830180363147
9696,18.9375,0.3125,repsi2,0.98,-0.8944082408726798,2.1865634003853622,14,0.020168523239073054,2,0.5000000000000016,1.0,0.0,0.0,0.9516756476086239,0.2304273418239391,0.14938968108257883
9696,18.9375,0.3125,impsi2,0.9,2.0910961486763173e-15,0.36369639861907604,926,0.10112836741874547,6,0.3809465641377743,0.23877955947680538,0.0,0.837413969908389,0.41685020682697665,0.3516072899621619,0.865038017194881
9696,18.9375,0.3125,impsi2,0.95,2.0910961486763173e-15,0.3894321290210918,730,0.050521360067436266,4,0.4730627387611806,0.05448031692987133,0.0,0.9455196830701287,0.21425465524012624,0.273556915820059,0.9281989620069184
9696,18.9375,0.3125,impsi2,0.98,2.0910961486763173e-15,0.416397295344914,486,0.020071658315747615,2,0.5001219145819279,0.0,0.0,1.0,0.05612180288046581,0.15512259370917797,0.9675092694490478
9696,18.9375,0.3125,abs_npsigma,0.9,0.20256881452741335,0.22536340960070242,1024,0.10005650414688771,2,0.5004151610887073,0.0,0.0,1.0,0.1341164147472338,0.3262233501907882,0.9243407849261278
9696,18.9375,0.3125,abs_npsigma,0.95,0.20256881452741335,0.27080947750585926,748,0.05003655531819713,2,0.500227229124495,0.0,0.0,1.0,0.09662676964773623,0.22698282547342238,0.9536817939052299
9696,18.9375,0.3125,abs_npsigma,0.98,0.20256881452741335,0.30124894247798795,485,0.020072066165217076,2,0.5022167175321365,0.0,0.0,1.0,0.05940337428676505,0.15054449793493407,0.9687242527186942
10368,20.25,1.625,repsi2,0.9,-0.7105161517484557,1.157050900371715,91,0.10042514099592043,2,0.5054050797321313,1.0,0.0,0.0,0.9267171160444385,0.3127015088511041,0.22686549133704648
10368,20.25,1.625,repsi2,0.95,-0.7105161517484557,1.4333334383116743,44,0.05021372488791347,2,0.5000000000000004,1.0,0.0,0.0,0.9615898037300528,0.2139985692227438,0.17316244062929487
10368,20.25,1.625,repsi2,0.98,-0.7105161517484557,1.591170692495202,18,0.020765518099896883,2,0.5000000000000004,1.0,0.0,0.0,0.9759094227420538,0.13843266525860354,0.11564051041224639
10368,20.25,1.625,impsi2,0.9,9.88784716879714e-16,0.4083361964926342,861,0.10011651038766328,3,0.4961690051313468,0.008013293226457732,0.0,1.0,0.2181233343943301,0.22508952570960586,0.9613585120902751
10368,20.25,1.625,impsi2,0.95,9.88784716879714e-16,0.42985292320049756,636,0.05001327997325667,2,0.5000809214796174,0.0,0.0,1.0,0.1338555285046309,0.16832755974675556,0.980948659199298
10368,20.25,1.625,impsi2,0.98,9.88784716879714e-16,0.4460241280179506,412,0.020036064980642226,2,0.5000249104479544,0.0,0.0,1.0,0.07689471380000625,0.11521768240584036,0.9916628962490263
10368,20.25,1.625,abs_npsigma,0.9,0.15123581847414314,0.14912828386494997,896,0.10012230293292812,2,0.5001310255926968,0.0,0.0,1.0,0.15184543967608038,0.2862478222650834,0.9506766492814704
10368,20.25,1.625,abs_npsigma,0.95,0.15123581847414314,0.1730680832929053,644,0.050101658632235445,2,0.5001050671472268,0.0,0.0,1.0,0.10540296780399992,0.20842217152240963,0.9747061142512023
10368,20.25,1.625,abs_npsigma,0.98,0.15123581847414314,0.18913451152784116,413,0.020052735657520082,2,0.502158853361012,0.0,0.0,1.0,0.07065203867164496,0.1252889726419711,0.9906229628675521
10400,20.3125,1.6875,repsi2,0.9,-0.7081361409551292,1.1444430138646071,92,0.10099053152280346,2,0.5000000000000004,1.0,0.0,0.0,0.9284632419023514,0.3112443002612015,0.22739273272307833
10400,20.3125,1.6875,repsi2,0.95,-0.7081361409551292,1.4088279086819921,44,0.050003964525661845,2,0.5000000000000006,1.0,0.0,0.0,0.9647878267067697,0.21391609269973863,0.17226129404646642
10400,20.3125,1.6875,repsi2,0.98,-0.7081361409551292,1.590100380955023,18,0.020679903652279192,2,0.5000000000000002,1.0,0.0,0.0,0.9799495096407115,0.1323334076118858,0.11511749046879088
10400,20.3125,1.6875,impsi2,0.9,-1.6219571510996792e-15,0.4121713017304432,855,0.10002639194698182,2,0.5017499381568286,0.0,0.0,1.0,0.22119750030313232,0.21692948826788844,0.962399430301533
10400,20.3125,1.6875,impsi2,0.95,-1.6219571510996792e-15,0.43216676623225675,634,0.0502311834847686,2,0.5047290857328294,0.0,0.0,1.0,0.13662573145754486,0.16646569519035356,0.9808938237682757
10400,20.3125,1.6875,impsi2,0.98,-1.6219571510996792e-15,0.44717155092436883,407,0.020109281133899416,2,0.5032967717957482,0.0,0.0,1.0,0.08489139656794567,0.11013318240738168,0.9920544719279693
10400,20.3125,1.6875,abs_npsigma,0.9,0.14984136954987495,0.1461863150731569,884,0.10006823755648966,4,0.48891628331237125,0.02245976368979384,0.0,0.9775402363102063,0.20580155482611115,0.28422757299987433,0.9403555790264357
10400,20.3125,1.6875,abs_npsigma,0.95,0.14984136954987495,0.16875125508936636,641,0.05005787905169275,2,0.5014097308365824,0.0,0.0,1.0,0.10596918551560422,0.20750993926899114,0.97482203151801
10400,20.3125,1.6875,abs_npsigma,0.98,0.14984136954987495,0.18474215055656643,411,0.020060326666847962,2,0.5022557604845871,0.0,0.0,1.0,0.07105249441336017,0.1252403364052597,0.9906138095244906
10432,20.375,1.75,repsi2,0.9,-0.7045572678217841,1.1219277758070572,92,0.10056409439405853,2,0.5106860762109304,1.0,0.0,0.0,0.9310111953122637,0.295753204365863,0.23562897859264498
10432,20.375,1.75,repsi2,0.95,-0.7045572678217841,1.3895003264870307,45,0.050594690505975266,2,0.51069114149547,1.0,0.0,0.0,0.9601183898936761,0.2328059346080174,0.16180301121115184
10432,20.375,1.75,repsi2,0.98,-0.7045572678217841,1.5887024217861008,18,0.020480959704468425,2,0.5000000000000001,1.0,0.0,0.0,0.977221951756708,0.11730336517971951,0.12514405317268606
10432,20.375,1.75,impsi2,0.9,1.5717326990954015e-15,0.41553463384042766,852,0.10019786677089523,2,0.500160360653079,0.0,0.0,1.0,0.22273126793872425,0.21685623520713515,0.9618553724754881
10432,20.375,1.75,impsi2,0.95,1.5717326990954015e-15,0.4347769576539182,631,0.0501908280571093,2,0.5022429197975462,0.0,0.0,1.0,0.13804002004046534,0.16479972987739896,0.9808608515442229
10432,20.375,1.75,impsi2,0.98,1.5717326990954015e-15,0.4485236068792138,404,0.020069643022686864,2,0.5000510526343576,0.0,0.0,1.0,0.08676191311460163,0.10833445018249536,0.9921442377706737
10432,20.375,1.75,abs_npsigma,0.9,0.14761986961755968,0.1442675790900549,881,0.10005759873687552,4,0.49000325418450474,0.02242491050870954,0.0,0.9775750894912905,0.2058435812125543,0.28461903807677036,0.9399729616038643
10432,20.375,1.75,abs_npsigma,0.95,0.14761986961755968,0.1664121750051546,639,0.05014770086834261,2,0.5014138566836515,0.0,0.0,1.0,0.10632195925488766,0.2070842175151819,0.9748152984027993
10432,20.375,1.75,abs_npsigma,0.98,0.14761986961755968,0.18127320962768856,409,0.02005222128497975,2,0.5022766982136164,0.0,0.0,1.0,0.07067174707985259,0.12610277437813186,0.9904853404288805
10464,20.4375,1.8125,repsi2,0.9,-0.7035052690670429,1.1063813207547717,93,0.10090897633810239,2,0.5046405148138222,1.0,0.0,0.0,0.9300212427596617,0.30456524798968454,0.22919258084665842
10464,20.4375,1.8125,repsi2,0.95,-0.7035052690670429,1.3607603097175283,46,0.050999565507922597,2,0.5000000000000017,1.0,0.0,0.0,0.9550924290840915,0.22757693012968924,0.16412762882367443
10464,20.4375,1.8125,repsi2,0.98,-0.7035052690670429,1.5685858284203145,18,0.02040221289303025,2,0.5000000000000016,1.0,0.0,0.0,0.9803370161618106,0.11269534961321762,0.12457891767475959
10464,20.4375,1.8125,impsi2,0.9,-3.2797916907593135e-17,0.41989704521775767,843,0.10043826117148764,5,0.4882762684659298,0.023726954476322924,0.0,1.0,0.24545560331583893,0.21469114197298395,0.9576895306257951
10464,20.4375,1.8125,impsi2,0.95,-3.2797916907593135e-17,0.43656076604680555,624,0.05010702739325311,2,0.5000752182533108,0.0,0.0,1.0,0.14447213478371007,0.160484907918014,0.9809942156009435
10464,20.4375,1.8125,impsi2,0.98,-3.2797916907593135e-17,0.44964440364948965,400,0.02006814229963278,2,0.5000636327651272,0.0,0.0,1.0,0.09122255404606965,0.10528677365040578,0.9922991096781144
10464,20.4375,1.8125,abs_npsigma,0.9,0.14439987435740975,0.14187043803014174,885,0.10075759163986572,3,0.4945768465691296,0.011113114196622885,0.0,0.9888868858033772,0.18161807418490533,0.28561450828134094,0.9448727244822585
10464,20.4375,1.8125,abs_npsigma,0.95,0.14439987435740975,0.16508879367590346,636,0.05006840662680176,2,0.5001031962280114,0.0,0.0,1.0,0.10682750923976457,0.206023996040879,0.9749620959513422
10464,20.4375,1.8125,abs_npsigma,0.98,0.14439987435740975,0.17894081989722066,407,0.02003919797208463,2,0.5022325888575498,0.0,0.0,1.0,0.07051870467582887,0.12665778990183607,0.9903992927564863
10496,20.5,1.875,repsi2,0.9,-0.7034989215653714,1.0977755150175197,93,0.10004403046827343,2,0.5055269737500333,1.0,0.0,0.0,0.9291717828119789,0.30879972284839624,0.22375670279038035
10496,20.5,1.875,repsi2,0.95,-0.7034989215653714,1.3743557809429197,46,0.05084225975600202,2,0.5000000000000004,1.0,0.0,0.0,0.9587347579616825,0.22453242503852255,0.16350665756398713
10496,20.5,1.875,repsi2,0.98,-0.7034989215653714,1.5383550612374415,18,0.02020705716412581,2,0.5564349572951399,1.0,0.0,0.0,0.9779742336140625,0.1297342929002005,0.11307020366560917
10496,20.5,1.875,impsi2,0.9,7.692754068026783e-16,0.4224368174639826,820,0.10004889208033399,6,0.470843685704264,0.03149891600430662,0.0,1.0,0.276156230569444,0.20967096284501835,0.9527105798750695
10496,20.5,1.875,impsi2,0.95,7.692754068026783e-16,0.43766649812708547,617,0.05008038018969606,2,0.5013069312812509,0.0,0.0,1.0,0.15078350265326232,0.15671458349871847,0.9810459974404394
10496,20.5,1.875,impsi2,0.98,7.692754068026783e-16,0.45110465122698273,396,0.02006464067474244,2,0.5000601001629298,0.0,0.0,1.0,0.09659574640739685,0.09990091111177897,0.9925356975954894
10496,20.5,1.875,abs_npsigma,0.9,0.1431974497836298,0.13814096294243527,883,0.10006638086213114,2,0.5012216175529329,0.0,0.0,1.0,0.1516492189094965,0.28688607537785443,0.9498947045534724
10496,20.5,1.875,abs_npsigma,0.95,0.1431974497836298,0.16082864021958837,634,0.05012728200079822,2,0.5001010473081255,0.0,0.0,1.0,0.10735656302493703,0.2054556839582953,0.9749830623471055
10496,20.5,1.875,abs_npsigma,0.98,0.1431974497836298,0.17456311566994837,405,0.02002412894257348,2,0.5023220722428539,0.0,0.0,1.0,0.0708201689000558,0.12661888027715779,0.990393076406776
10528,20.5625,1.9375,repsi2,0.9,-0.7001267287372419,1.0965786144939345,95,0.10087582921459617,2,0.5049243339215195,1.0,0.0,0.0,0.92738191467539,0.29898701231191444,0.23007475395664653
10528,20.5625,1.9375,repsi2,0.95,-0.7001267287372419,1.3526425319954003,46,0.050674550379647174,2,0.5000000000000013,1.0,0.0,0.0,0.9624665950670409,0.2243719478883414,0.16286823096140562
10528,20.5625,1.9375,repsi2,0.98,-0.7001267287372419,1.5133243147395807,18,0.020015117777360484,2,0.5536511062874706,1.0,0.0,0.0,0.9766407598445113,0.13249762830274503,0.11120495312074202
10528,20.5625,1.9375,impsi2,0.9,-1.871559693849508e-15,0.425922826441963,804,0.10026680116952108,2,0.5001702941538847,0.03117346856533036,0.0,1.0,0.29184338925114,0.2064112325146172,0.9502835091132023
10528,20.5625,1.9375,impsi2,0.95,-1.871559693849508e-15,0.4390745563038894,612,0.05004022087739811,2,0.5000850358830933,0.0,0.0,1.0,0.1544223113910752,0.15336948406133227,0.9811202912295537
10528,20.5625,1.9375,impsi2,0.98,-1.871559693849508e-15,0.451895090431843,394,0.020131905105669125,2,0.500057900867372,0.0,0.0,1.0,0.09944182299961679,0.09764374686838198,0.992546196050734
10528,20.5625,1.9375,abs_npsigma,0.9,0.14072435964272684,0.13640941357668093,877,0.10025842102420246,3,0.4947283802710223,0.010809121756725186,0.0,0.9891908782432748,0.1800225145729847,0.28515938577641836,0.9450846698322469
10528,20.5625,1.9375,abs_npsigma,0.95,0.14072435964272684,0.15859905433095117,632,0.050171457597559234,2,0.500099183756719,0.0,0.0,1.0,0.10792575443788903,0.2048832284652112,0.9750106987177475
10528,20.5625,1.9375,abs_npsigma,0.98,0.14072435964272684,0.1716715061821537,404,0.0200861718139295,2,0.500044959979111,0.0,0.0,1.0,0.07082217568433352,0.12725982469427202,0.9902823388960458
