field,iteration_from,iteration_to,gap_M,contiguous,Dice_physical_measure,origin
abs_npsigma,10528,10560,0.0625,True,0.9892699160112362,new_B4
repsi2,10560,10592,0.0625,True,0.9744216015399507,new_B4
impsi2,10560,10592,0.0625,True,0.9697680588795314,new_B4
abs_npsigma,10560,10592,0.0625,True,0.9967103176502057,new_B4
repsi2,10592,10624,0.0625,True,0.9134946294825396,new_B4
impsi2,10592,10624,0.0625,True,0.9686255033296206,new_B4
abs_npsigma,10592,10624,0.0625,True,0.9891752689902847,new_B4
repsi2,10624,10656,0.0625,True,1.0,new_B4
impsi2,10624,10656,0.0625,True,0.9527057060296178,new_B4
abs_npsigma,10624,10656,0.0625,True,0.996677352226862,new_B4
repsi2,10656,10688,0.0625,True,0.9515055220150284,new_B4
impsi2,10656,10688,0.0625,True,0.9948947181371827,new_B4
abs_npsigma,10656,10688,0.0625,True,0.9907581924667416,new_B4
repsi2,10688,10720,0.0625,True,0.9053548412928532,new_B4
impsi2,10688,10720,0.0625,True,0.933687007213076,new_B4
abs_npsigma,10688,10720,0.0625,True,0.9924212171366341,new_B4
repsi2,10720,10752,0.0625,True,0.9877903122766105,new_B4
impsi2,10720,10752,0.0625,True,0.9437470874768383,new_B4
abs_npsigma,10720,10752,0.0625,True,0.9932694224827114,new_B4
repsi2,10752,10784,0.0625,True,0.9765618705161364,new_B4
impsi2,10752,10784,0.0625,True,0.9317692867376113,new_B4
abs_npsigma,10752,10784,0.0625,True,0.9872859565160459,new_B4
repsi2,10784,10816,0.0625,True,0.9046511195977082,new_B4
impsi2,10784,10816,0.0625,True,0.924284522481055,new_B4
abs_npsigma,10784,10816,0.0625,True,0.9966112903398793,new_B4
repsi2,10816,10848,0.0625,True,0.9773964414156245,new_B4
impsi2,10816,10848,0.0625,True,0.8598042195012251,new_B4
abs_npsigma,10816,10848,0.0625,True,0.9905870213251079,new_B4
repsi2,10848,10880,0.0625,True,0.9767606840828239,new_B4
impsi2,10848,10880,0.0625,True,0.9581668908932344,new_B4
abs_npsigma,10848,10880,0.0625,True,0.9937775998223654,new_B4
repsi2,10880,10912,0.0625,True,0.8967932727521548,new_B4
impsi2,10880,10912,0.0625,True,0.8521793643070383,new_B4
abs_npsigma,10880,10912,0.0625,True,0.9969723518300221,new_B4
repsi2,10912,10944,0.0625,True,0.9534546829143098,new_B4
impsi2,10912,10944,0.0625,True,0.8705420045080349,new_B4
abs_npsigma,10912,10944,0.0625,True,0.9984804003409097,new_B4
repsi2,10944,10976,0.0625,True,0.9764705972756816,new_B4
impsi2,10944,10976,0.0625,True,0.9595049002794636,new_B4
abs_npsigma,10944,10976,0.0625,True,0.9969434700387589,new_B4
repsi2,10976,11008,0.0625,True,0.8746023146768075,new_B4
impsi2,10976,11008,0.0625,True,0.8676472553942226,new_B4
abs_npsigma,10976,11008,0.0625,True,0.9903832796094838,new_B4
repsi2,11008,11040,0.0625,True,1.0,new_B4
impsi2,11008,11040,0.0625,True,0.815004636300403,new_B4
abs_npsigma,11008,11040,0.0625,True,0.9903395662623998,new_B4
repsi2,11040,11072,0.0625,True,0.932773077978304,new_B4
impsi2,11040,11072,0.0625,True,0.9485077947910092,new_B4
abs_npsigma,11040,11072,0.0625,True,0.9984483624574008,new_B4
repsi2,11072,11104,0.0625,True,0.9786859987971752,new_B4
impsi2,11072,11104,0.0625,True,0.8841053623992732,new_B4
abs_npsigma,11072,11104,0.0625,True,0.9968813391210485,new_B4
repsi2,11104,11136,0.0625,True,0.9341288769976418,new_B4
impsi2,11104,11136,0.0625,True,0.9755946428611156,new_B4
abs_npsigma,11104,11136,0.0625,True,0.9984328082749635,new_B4
repsi2,11136,11168,0.0625,True,0.9769031835778319,new_B4
impsi2,11136,11168,0.0625,True,0.8558907115290217,new_B4
abs_npsigma,11136,11168,0.0625,True,0.998424663336399,new_B4
repsi2,11168,11200,0.0625,True,0.9239119617108038,new_B4
impsi2,11168,11200,0.0625,True,0.9574058016052309,new_B4
abs_npsigma,11168,11200,0.0625,True,0.9934753906049965,new_B4
repsi2,11200,11232,0.0625,True,0.9549200170237389,new_B4
impsi2,11200,11232,0.0625,True,0.918805963811691,new_B4
abs_npsigma,11200,11232,0.0625,True,0.990046673025944,new_B4
repsi2,11232,11264,0.0625,True,1.0,new_B4
impsi2,11232,11264,0.0625,True,0.9519865655816729,new_B4
abs_npsigma,11232,11264,0.0625,True,0.9949922358573567,new_B4
