iteration,t_M,tau_M,area_physical_fejer,area_physical_midpoint,area_coordinate_fd4_fejer,physical_to_coordinate_area,physical_to_coordinate_density_min,physical_to_coordinate_density_max,max_tangent_residual,min_q_eigenvalue,full_tetrad_q_difference_max,local_phase_density_relative_difference,local_boost_full_tetrad_q_difference_max,angular_grid_radial_fit_max_error,region_boundary_margin,second_order_mismatch_area_relative,second_order_mismatch_tangent_residual,origin,long_axis_available,coordinate_span_max_over_min
9536,18.625,0.0,37.30527648018054,37.30877222265127,4.401483162155561,8.475614947464853,7.4208148140078665,9.782968622792653,4.297898895240543e-15,0.0014355608494791086,1.958018082809317e-15,8.881784197001252e-16,1.958018082809317e-15,6.24866756799926e-16,9.052307341517185e-05,-0.010429365107419653,0.006600250737568062,reused_B3,True,2.6123348576575065
9568,18.6875,0.0625,37.73099686696203,37.734866801685186,4.580441963944736,8.237414023354988,7.20734906844827,9.586065683390956,3.3154545532280904e-15,0.0015990200547542895,2.5638243975364603e-15,1.1102230246251565e-15,2.5638243975364603e-15,6.792080818584259e-16,0.0005745804269805532,-0.009733666701371213,0.006163031673883421,reused_B3,True,2.528016685038782
9600,18.75,0.125,38.02280460536191,38.026949899535666,4.704917385593887,8.081503135801059,7.070066803355717,9.449712082216006,3.9224550072335835e-15,0.0017203759791384924,1.536784262459106e-15,8.881784197001252e-16,1.3785445713624396e-15,6.310306065056302e-16,0.0013339464215299524,-0.009258563280211796,0.005856927826894727,reused_B3,True,2.4700284378591717
9632,18.8125,0.1875,38.2581930687998,38.262571379367955,4.806679596535192,7.959380753478457,6.964219350700137,9.335371980617426,3.861126177671683e-15,0.001823740796568119,1.7064466451565944e-15,1.1102230246251565e-15,1.7064466451565944e-15,6.775530527567988e-16,0.0006743124629695618,-0.008878678499725123,0.005610592109893857,reused_B3,True,2.4127777246158963
9664,18.875,0.25,38.45638125655612,38.46096501288052,4.893374926977263,7.858866698430445,6.878195513918691,9.252396259060985,3.597878490630757e-15,0.001915394693007124,2.0707037531739365e-15,8.881784197001252e-16,2.224056478668718e-15,6.422099982615981e-16,3.646697242909447e-05,-0.008559295032649628,0.005418738957638637,reused_B3,True,2.3638258084059833
9696,18.9375,0.3125,38.6294628397313,38.63423321236108,4.969929034932435,7.772638717417111,6.805253688451322,9.179332803604984,4.723738349914495e-15,0.001998639786383826,2.077253743058364e-15,1.1102230246251565e-15,1.4970657487932606e-15,6.947985459046575e-16,0.00019156502693373767,-0.008281116032617053,0.00524752704157994,reused_B3,True,2.3168331091591114
9728,19.0,0.375,38.78472379338007,38.78966708557188,5.039368415601471,,,,2.945638175665356e-15,0.002075656190833812,1.9944266562429945e-15,,,6.469005643213509e-16,,,,new_B4,True,2.272763586284787
9760,19.0625,0.4375,38.92462138039829,38.92972600752621,5.102589806810722,,,,6.028402154488312e-15,0.0021477177005898756,1.5363784281896402e-15,,,6.790546334620468e-16,,,,new_B4,True,2.2296978861878234
9792,19.125,0.5,39.052042299727646,39.057298776086846,5.160762479811844,,,,4.8163476519494235e-15,0.002215732524417647,1.760990801574103e-15,,,6.4764399347144e-16,,,,new_B4,True,2.1884819676033502
9824,19.1875,0.5625,39.16977107395634,39.175171738631704,5.215058179970901,,,,3.5393489991495953e-15,0.002280505612077488,1.835877053384187e-15,,,5.922110906402918e-16,,,,new_B4,True,2.1489135417836875
