iteration,t_M,field,L,top2_nodes_squared_norm_fraction,top2_nodes_physical_area_fraction,top10_nodes_squared_norm_fraction,node1_index,node1_theta_deg,node1_phi_deg,node1_residual,node2_index,node2_theta_deg,node2_phi_deg,node2_residual
9536,18.625,repsi2,8,0.8314433600713571,0.00280673244733114,0.8636719176417225,1268,90.0,220.0,3.6634885062197293,1232,90.0,40.0,3.663488477351338
9536,18.625,impsi2,8,0.07160126680656112,0.0035749452595970153,0.2763825940979995,1115,79.71428571428571,175.0,0.09518841892436053,1403,100.28571428571429,175.0,-0.09518840678351886
9536,18.625,abs_npsigma,8,0.11737177282967952,0.0037689632172618185,0.24559238136057857,1295,90.0,355.0,-0.0322045497751306,1259,90.0,175.0,-0.032204530475862345
9568,18.6875,repsi2,8,0.6600172872676099,0.0027408232859156036,0.7188770202233624,1268,90.0,220.0,1.2385565388308113,1232,90.0,40.0,1.2385565226145394
9568,18.6875,impsi2,8,0.07271262495711164,0.003445834385985688,0.27611949881617937,1115,79.71428571428571,175.0,0.09114118713734704,1403,100.28571428571429,175.0,-0.09114117937215077
9568,18.6875,abs_npsigma,8,0.12254870219643102,0.003641270681813911,0.2389558225877631,1295,90.0,355.0,-0.030385796492485975,1259,90.0,175.0,-0.03038578444004285
9600,18.75,repsi2,8,0.493261751068494,0.002712173477129858,0.5874793126811791,1268,90.0,220.0,0.8775126296235363,1232,90.0,40.0,0.8775126192799338
9600,18.75,impsi2,8,0.0702668149640503,0.003342806182360352,0.2801226284144824,1115,79.71428571428571,175.0,0.08643044272175443,1403,100.28571428571429,175.0,-0.0864304373128783
9600,18.75,abs_npsigma,8,0.12272616644083784,0.0035380749313242282,0.24772444308683675,1295,90.0,355.0,-0.028756088931819298,1259,90.0,175.0,-0.028756080664474184
9632,18.8125,repsi2,8,0.45248311455831414,0.002696817499020921,0.5457022618196352,1268,90.0,220.0,0.7098083429431887,1232,90.0,40.0,0.7098083360128309
9632,18.8125,impsi2,8,0.06434904823737589,0.0032502513222809333,0.2779761522323399,1115,79.71428571428571,175.0,0.08036670779476024,1403,100.28571428571429,175.0,-0.08036670386959205
9632,18.8125,abs_npsigma,8,0.12334066620697648,0.0034443810429639183,0.25733861238510464,1295,90.0,355.0,-0.027417716515193213,1259,90.0,175.0,-0.027417710587470202
9664,18.875,repsi2,8,0.08799999139098456,0.002402572137717061,0.20581484428192293,1233,90.0,45.0,-0.20143481183741319,1269,90.0,225.0,-0.20143480791226143
9664,18.875,impsi2,8,0.058345055801781606,0.003297000924566013,0.2689170315237572,1116,79.71428571428571,180.0,0.07305316938208817,1404,100.28571428571429,180.0,-0.07305316736571416
9664,18.875,abs_npsigma,8,0.12501684199232077,0.0033563562437883806,0.2641283238915819,1295,90.0,355.0,-0.026405055193851598,1259,90.0,175.0,-0.026405050800420084
9696,18.9375,repsi2,8,0.19726421295629,0.0021056748570472076,0.40211982137772967,1234,90.0,50.0,-0.36263696899579134,1270,90.0,230.0,-0.3626369682252304
9696,18.9375,impsi2,8,0.06282319611952411,0.003225765911182704,0.2531632213013939,1116,79.71428571428571,180.0,0.0738921962266621,1404,100.28571428571429,180.0,-0.07389219458581386
9696,18.9375,abs_npsigma,8,0.12781746612706982,0.003271794730492925,0.2691256736859795,1295,90.0,355.0,-0.02566835016003905,1259,90.0,175.0,-0.02566834682359071
9728,19.0,repsi2,8,0.3527594260091388,0.002129545802553647,0.4362844740373202,1234,90.0,50.0,-0.45825388278832335,1270,90.0,230.0,-0.45825388218482344
