field,value_at_strongest_abs_deviation,global_x,global_y,global_z,binary_axis_u_M,in_plane_transverse_v_M,orbital_normal_w_M,u_normalized,v_normalized,w_normalized
shape,0.9700834518665334,0.9663919914559795,0.0845483437746398,5.940047971170828e-17,0.9654159573038813,-0.09504700624391026,2.5933949074999e-06,1.0,-0.22320307374017243,7.0103730987105415e-06
repsi2,-3.7478959849439666,-0.9098458927287836,-0.24379247219345146,5.767729932889368e-17,-0.939194272538319,-0.07189183703379282,2.593595107442984e-06,-0.9728389772644823,-0.16882676937337232,7.0109142720934686e-06
impsi2,-0.4488883136102385,0.00513236429382917,-0.014101055005710801,-0.3341352037983529,0.0024449940753959627,-0.014805503652750764,-0.33413261030222435,0.002532580963571497,-0.03476841674618291,-0.903215416938863
renpsigma,-0.6523857023809652,-0.01411343696984353,0.005136870960215234,-0.33442860383879225,-0.012924624016389281,0.007650531203493397,-0.3344260103410482,-0.013387622111078317,0.017966079604682293,-0.9040085255137981
imnpsigma,-0.6527851638560843,-0.005132364293829144,0.01410105500571075,-0.33413520379835165,-0.0024449938244541364,0.014805502416174576,-0.3341326103017091,-0.002532580703640195,0.034768413842276545,-0.9032154169374702
renprho,0.5229527779740925,0.532673470702427,0.44696611280432813,4.257826466506469e-17,0.6059391341989144,0.34111214842725646,2.593432693293013e-06,0.6276456584487392,0.8010486918829781,7.010475239925821e-06
imnprho,0.14389551082122454,-0.8315989043777762,0.07275547673363432,0.23038339311342118,-0.8039352660718949,0.22480699399224013,0.23038598669431104,-0.8327345948548915,0.5279241718417764,0.6227712249958388
